Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
2491,3841114,"tests/easy/ex2.test.js",589,0,"n",javascript,content
2492,3841298,"tests/easy/ex2.test.js",590,0," ",javascript,content
2493,3841625,"tests/easy/ex2.test.js",591,0,"d",javascript,content
2494,3841828,"tests/easy/ex2.test.js",592,0,"e",javascript,content
2495,3842385,"tests/easy/ex2.test.js",593,0,"f",javascript,content
2496,3842517,"tests/easy/ex2.test.js",594,0,"i",javascript,content
2497,3842623,"tests/easy/ex2.test.js",595,0,"n",javascript,content
2498,3842770,"tests/easy/ex2.test.js",596,0,"e",javascript,content
2499,3842845,"tests/easy/ex2.test.js",597,0," ",javascript,content
2500,3842984,"tests/easy/ex2.test.js",598,0,"w",javascript,content
2501,3843069,"tests/easy/ex2.test.js",599,0,"h",javascript,content
2502,3843194,"tests/easy/ex2.test.js",600,0,"a",javascript,content
2503,3843477,"tests/easy/ex2.test.js",601,0,"t",javascript,content
2504,3843572,"tests/easy/ex2.test.js",602,0," ",javascript,content
2505,3843725,"tests/easy/ex2.test.js",603,0,"t",javascript,content
2506,3843837,"tests/easy/ex2.test.js",604,0,"h",javascript,content
2507,3844049,"tests/easy/ex2.test.js",605,0,"e",javascript,content
2508,3844212,"tests/easy/ex2.test.js",606,0,"y",javascript,content
2509,3844383,"tests/easy/ex2.test.js",607,0," ",javascript,content
2510,3844638,"tests/easy/ex2.test.js",608,0,"a",javascript,content
2511,3844873,"tests/easy/ex2.test.js",609,0,"r",javascript,content
2512,3844997,"tests/easy/ex2.test.js",610,0,"e",javascript,content
2513,3845058,"tests/easy/ex2.test.js",611,0," ",javascript,content
2514,3845298,"tests/easy/ex2.test.js",612,0,"v",javascript,content
2515,3845463,"tests/easy/ex2.test.js",613,0,"i",javascript,content
2516,3845605,"tests/easy/ex2.test.js",614,0,"a",javascript,content
2517,3845729,"tests/easy/ex2.test.js",615,0," ",javascript,content
2518,3846288,"tests/easy/ex2.test.js",616,0,"s",javascript,content
2519,3846548,"tests/easy/ex2.test.js",617,0,"t",javascript,content
2520,3846708,"tests/easy/ex2.test.js",618,0,"r",javascript,content
2521,3846822,"tests/easy/ex2.test.js",619,0,"i",javascript,content
2522,3846930,"tests/easy/ex2.test.js",620,0,"n",javascript,content
2523,3847002,"tests/easy/ex2.test.js",621,0,"g",javascript,content
2524,3847282,"tests/easy/ex2.test.js",622,0,"s",javascript,content
2525,3847376,"tests/easy/ex2.test.js",623,0," ",javascript,content
2526,3847697,"tests/easy/ex2.test.js",624,0,"i",javascript,content
2527,3847811,"tests/easy/ex2.test.js",625,0,"n",javascript,content
2528,3848052,"tests/easy/ex2.test.js",626,0,"s",javascript,content
2529,3848328,"tests/easy/ex2.test.js",627,0,"t",javascript,content
2530,3848558,"tests/easy/ex2.test.js",628,0,"e",javascript,content
2531,3848793,"tests/easy/ex2.test.js",629,0,"a",javascript,content
2532,3849000,"tests/easy/ex2.test.js",630,0,"d",javascript,content
2533,3849208,"tests/easy/ex2.test.js",631,0," ",javascript,content
2534,3849552,"tests/easy/ex2.test.js",632,0,"o",javascript,content
2535,3849703,"tests/easy/ex2.test.js",633,0,"g",javascript,content
2535,3849703,"tests/easy/ex2.test.js",633,0,"g",javascript,content
2536,3849703,"tests/easy/ex2.test.js",634,0,"f",javascript,content
2537,3849822,"tests/easy/ex2.test.js",635,0," ",javascript,content
2538,3850213,"tests/easy/ex2.test.js",635,1,"",javascript,content
2539,3850358,"tests/easy/ex2.test.js",634,1,"",javascript,content
2540,3850490,"tests/easy/ex2.test.js",633,1,"",javascript,content
2541,3850657,"tests/easy/ex2.test.js",633,0,"g",javascript,content
2542,3850884,"tests/easy/ex2.test.js",634,0," ",javascript,content
2543,3851248,"tests/easy/ex2.test.js",634,1,"",javascript,content
2544,3851390,"tests/easy/ex2.test.js",633,1,"",javascript,content
2545,3851497,"tests/easy/ex2.test.js",633,0,"f",javascript,content
2546,3851661,"tests/easy/ex2.test.js",634,0," ",javascript,content
2547,3852001,"tests/easy/ex2.test.js",635,0,"s",javascript,content
2548,3852082,"tests/easy/ex2.test.js",636,0,"o",javascript,content
2549,3852201,"tests/easy/ex2.test.js",637,0,"m",javascript,content
2550,3852315,"tests/easy/ex2.test.js",638,0,"e",javascript,content
2551,3852639,"tests/easy/ex2.test.js",639,0,"h",javascript,content
2552,3852837,"tests/easy/ex2.test.js",640,0,"o",javascript,content
2553,3852950,"tests/easy/ex2.test.js",641,0,"w",javascript,content
2554,3853688,"tests/easy/ex2.test.js",642,0," ",javascript,content
2555,3853907,"tests/easy/ex2.test.js",643,0,"m",javascript,content
2556,3854001,"tests/easy/ex2.test.js",644,0,"a",javascript,content
2557,3854127,"tests/easy/ex2.test.js",645,0,"k",javascript,content
2558,3854271,"tests/easy/ex2.test.js",646,0,"i",javascript,content
2559,3854405,"tests/easy/ex2.test.js",647,0,"n",javascript,content
2560,3854507,"tests/easy/ex2.test.js",648,0,"g",javascript,content
2561,3854595,"tests/easy/ex2.test.js",649,0," ",javascript,content
2562,3854700,"tests/easy/ex2.test.js",650,0,"t",javascript,content
2563,3854811,"tests/easy/ex2.test.js",651,0,"h",javascript,content
2564,3854928,"tests/easy/ex2.test.js",652,0,"e",javascript,content
2565,3855007,"tests/easy/ex2.test.js",653,0," ",javascript,content
2566,3855376,"tests/easy/ex2.test.js",654,0,"c",javascript,content
2567,3855469,"tests/easy/ex2.test.js",655,0,"o",javascript,content
2568,3855661,"tests/easy/ex2.test.js",656,0,"d",javascript,content
2569,3855847,"tests/easy/ex2.test.js",657,0,"e",javascript,content
2570,3855902,"tests/easy/ex2.test.js",658,0," ",javascript,content
2571,3856090,"tests/easy/ex2.test.js",659,0,"w",javascript,content
2572,3856176,"tests/easy/ex2.test.js",660,0,"o",javascript,content
2573,3856307,"tests/easy/ex2.test.js",661,0,"r",javascript,content
2574,3856424,"tests/easy/ex2.test.js",662,0,"k",javascript,content
2575,3856782,"tests/easy/ex2.test.js",663,0," ",javascript,content
2576,3856964,"tests/easy/ex2.test.js",664,0,"t",javascript,content
2577,3857048,"tests/easy/ex2.test.js",665,0,"o",javascript,content
2578,3857209,"tests/easy/ex2.test.js",666,0," ",javascript,content
2579,3857397,"tests/easy/ex2.test.js",667,0,"s",javascript,content
2580,3857480,"tests/easy/ex2.test.js",668,0,"h",javascript,content
2581,3857667,"tests/easy/ex2.test.js",669,0,"o",javascript,content
2582,3857789,"tests/easy/ex2.test.js",670,0,"w",javascript,content
2583,3857923,"tests/easy/ex2.test.js",671,0," ",javascript,content
2584,3858035,"tests/easy/ex2.test.js",672,0,"t",javascript,content
2585,3858153,"tests/easy/ex2.test.js",673,0,"h",javascript,content
2586,3858291,"tests/easy/ex2.test.js",674,0,"e",javascript,content
2587,3858390,"tests/easy/ex2.test.js",675,0,"m",javascript,content
2588,3858561,"tests/easy/ex2.test.js",676,0," ",javascript,content
2589,3858739,"tests/easy/ex2.test.js",677,0,"o",javascript,content
2590,3858860,"tests/easy/ex2.test.js",678,0,"f",javascript,content
2591,3858973,"tests/easy/ex2.test.js",679,0,"f",javascript,content
2592,3859098,"tests/easy/ex2.test.js",680,0," ",javascript,content
2593,3859271,"tests/easy/ex2.test.js",681,0,"i",javascript,content
2594,3859357,"tests/easy/ex2.test.js",682,0,"n",javascript,content
2595,3859559,"tests/easy/ex2.test.js",683,0," ",javascript,content
2596,3859677,"tests/easy/ex2.test.js",684,0,"a",javascript,content
2597,3859791,"tests/easy/ex2.test.js",685,0," ",javascript,content
2598,3860395,"tests/easy/ex2.test.js",686,0,"w",javascript,content
2599,3860583,"tests/easy/ex2.test.js",687,0,"a",javascript,content
2600,3860731,"tests/easy/ex2.test.js",688,0,"y",javascript,content
2601,3861224,"tests/easy/ex2.test.js",689,0,"?",javascript,content
2602,3861283,"tests/easy/ex2.test.js",690,0,"?",javascript,content
2603,3862682,"tests/easy/ex2.test.js",685,6,"",javascript,content
2604,3863089,"tests/easy/ex2.test.js",683,2,"",javascript,content
2605,3863609,"tests/easy/ex2.test.js",680,3,"",javascript,content
2606,3863645,"tests/easy/ex2.test.js",676,4,"",javascript,content
2607,3863661,"tests/easy/ex2.test.js",671,5,"",javascript,content
2608,3863692,"tests/easy/ex2.test.js",666,5,"",javascript,content
2609,3863724,"tests/easy/ex2.test.js",663,3,"",javascript,content
2610,3863755,"tests/easy/ex2.test.js",658,5,"",javascript,content
2611,3863793,"tests/easy/ex2.test.js",653,5,"",javascript,content
2612,3863830,"tests/easy/ex2.test.js",649,4,"",javascript,content
2613,3863865,"tests/easy/ex2.test.js",642,7,"",javascript,content
2614,3863891,"tests/easy/ex2.test.js",634,8,"",javascript,content
2615,3863923,"tests/easy/ex2.test.js",633,1,"",javascript,content
2616,3863959,"tests/easy/ex2.test.js",633,0,"g ",javascript,content
2617,3863972,"tests/easy/ex2.test.js",634,1,"",javascript,content
2618,3864023,"tests/easy/ex2.test.js",633,1,"",javascript,content
2619,3864054,"tests/easy/ex2.test.js",633,0,"gf ",javascript,content
2620,3864087,"tests/easy/ex2.test.js",635,1,"",javascript,content
2621,3864120,"tests/easy/ex2.test.js",631,4,"",javascript,content
2622,3864156,"tests/easy/ex2.test.js",623,8,"",javascript,content
2623,3864343,"tests/easy/ex2.test.js",615,8,"",javascript,content
2624,3864849,"tests/easy/ex2.test.js",611,4,"",javascript,content
2625,3864871,"tests/easy/ex2.test.js",607,4,"",javascript,content
2626,3864904,"tests/easy/ex2.test.js",602,5,"",javascript,content
2627,3864936,"tests/easy/ex2.test.js",597,5,"",javascript,content
2628,3864974,"tests/easy/ex2.test.js",590,7,"",javascript,content
2629,3865005,"tests/easy/ex2.test.js",586,4,"",javascript,content
2630,3865038,"tests/easy/ex2.test.js",585,1,"",javascript,content
2631,3865071,"tests/easy/ex2.test.js",584,1,"",javascript,content
2632,3865505,"tests/easy/ex2.test.js",581,3,"",javascript,content
2633,3865778,"tests/easy/ex2.test.js",579,2,"",javascript,content
2634,3867738,"tests/easy/ex2.test.js",579,0,"u",javascript,content
2635,3867872,"tests/easy/ex2.test.js",580,0,"u",javascript,content
2636,3868009,"tests/easy/ex2.test.js",581,0,"u",javascript,content
2637,3868220,"tests/easy/ex2.test.js",582,0,"h",javascript,content
2638,3868940,"tests/easy/ex2.test.js",583,0,"?",javascript,content
2639,3869113,"tests/easy/ex2.test.js",584,0,"?",javascript,content
2640,3870626,"tests/easy/ex2.test.js",579,6,"",javascript,content
2641,3895848,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should \n  return an object containing all these types */\n  const types = showAllTypes();\n\n\n\n\n\n  console.log(typeof );\n\n}\n\n\n\nmodule.exports = showAllTypes;\n\n\n\n/* the Key is the name of the data type, and value is the type of data type\n{\n\n}\n*/\n\n\n\n",javascript,tab
2642,3897498,"exercises/easy/ex2-type-checker.js",244,0,"\n  ",javascript,content
2643,3897675,"exercises/easy/ex2-type-checker.js",247,0,"\n  ",javascript,content
2643,3897675,"exercises/easy/ex2-type-checker.js",247,0,"\n  ",javascript,content
2644,3897676,"exercises/easy/ex2-type-checker.js",245,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2645,3898876,"exercises/easy/ex2-type-checker.js",246,2,"",javascript,content
2646,3898876,"exercises/easy/ex2-type-checker.js",245,0,"    expect(result).toHaveProperty('object');\n    expect(result).toHaveProperty('array');\n    expect(result).toHaveProperty('string');\n    expect(result).toHaveProperty('number');\n    expect(result).toHaveProperty('boolean');\n    expect(result).toHaveProperty('null');\n    expect(result).toHaveProperty('undefined');\n    expect(result).toHaveProperty('nan');\n    \n    expect(result.object).toBe('object');\n    expect(result.array).toBe('object');\n    expect(result.string).toBe('string');\n    expect(result.number).toBe('number');\n    expect(result.boolean).toBe('boolean');\n    expect(result.null).toBe('object');\n    expect(result.undefined).toBe('undefined');\n    expect(result.nan).toBe('number');",javascript,content
2647,3898877,"exercises/easy/ex2-type-checker.js",907,4,"  ",javascript,content
2648,3898877,"exercises/easy/ex2-type-checker.js",859,4,"  ",javascript,content
2649,3898877,"exercises/easy/ex2-type-checker.js",819,4,"  ",javascript,content
2650,3898877,"exercises/easy/ex2-type-checker.js",775,4,"  ",javascript,content
2651,3898878,"exercises/easy/ex2-type-checker.js",733,4,"  ",javascript,content
2652,3898878,"exercises/easy/ex2-type-checker.js",691,4,"  ",javascript,content
2653,3898878,"exercises/easy/ex2-type-checker.js",650,4,"  ",javascript,content
2654,3898878,"exercises/easy/ex2-type-checker.js",608,4,"  ",javascript,content
2655,3898878,"exercises/easy/ex2-type-checker.js",603,4,"  ",javascript,content
2656,3898878,"exercises/easy/ex2-type-checker.js",561,4,"  ",javascript,content
2657,3898878,"exercises/easy/ex2-type-checker.js",513,4,"  ",javascript,content
2658,3898879,"exercises/easy/ex2-type-checker.js",470,4,"  ",javascript,content
2659,3898879,"exercises/easy/ex2-type-checker.js",424,4,"  ",javascript,content
2660,3898879,"exercises/easy/ex2-type-checker.js",379,4,"  ",javascript,content
2661,3898879,"exercises/easy/ex2-type-checker.js",334,4,"  ",javascript,content
2662,3898879,"exercises/easy/ex2-type-checker.js",290,4,"  ",javascript,content
2663,3898879,"exercises/easy/ex2-type-checker.js",245,4,"  ",javascript,content
2664,3913027,"exercises/easy/ex2-type-checker.js",254,6,"types",javascript,content
2665,3915609,"exercises/easy/ex2-type-checker.js",296,6,"types",javascript,content
2666,3916482,"exercises/easy/ex2-type-checker.js",337,6,"types",javascript,content
2667,3917232,"exercises/easy/ex2-type-checker.js",379,6,"types",javascript,content
2668,3918224,"exercises/easy/ex2-type-checker.js",421,6,"types",javascript,content
2669,3919132,"exercises/easy/ex2-type-checker.js",464,6,"types",javascript,content
2670,3920315,"exercises/easy/ex2-type-checker.js",504,6,"types",javascript,content
2671,3921138,"exercises/easy/ex2-type-checker.js",549,6,"types",javascript,content
2672,3922212,"exercises/easy/ex2-type-checker.js",591,6,"types",javascript,content
2673,3923142,"exercises/easy/ex2-type-checker.js",630,6,"types",javascript,content
2674,3924266,"exercises/easy/ex2-type-checker.js",668,6,"types",javascript,content
2675,3925133,"exercises/easy/ex2-type-checker.js",707,6,"types",javascript,content
2676,3926088,"exercises/easy/ex2-type-checker.js",746,6,"types",javascript,content
2677,3927173,"exercises/easy/ex2-type-checker.js",787,6,"types",javascript,content
2678,3927946,"exercises/easy/ex2-type-checker.js",824,6,"types",javascript,content
2679,3928694,"exercises/easy/ex2-type-checker.js",869,6,"types",javascript,content
2680,3930588,"exercises/easy/ex2-type-checker.js",243,0,".",javascript,content
2681,3930862,"exercises/easy/ex2-type-checker.js",244,0,"t",javascript,content
2682,3930976,"exercises/easy/ex2-type-checker.js",245,0,"o",javascript,content
2683,3931759,"exercises/easy/ex2-type-checker.js",246,0,"H",javascript,content
2684,3932007,"exercises/easy/ex2-type-checker.js",247,0,"a",javascript,content
2685,3932122,"exercises/easy/ex2-type-checker.js",248,0,"v",javascript,content
2686,3932274,"exercises/easy/ex2-type-checker.js",249,0,"r",javascript,content
2687,3933542,"exercises/easy/ex2-type-checker.js",244,6,"toHaveProperty",javascript,content
2688,3934165,"exercises/easy/ex2-type-checker.js",258,0," ",javascript,content
2689,3935022,"exercises/easy/ex2-type-checker.js",259,0,"<",javascript,content
2690,3935777,"exercises/easy/ex2-type-checker.js",260,0,"-",javascript,content
2691,3935861,"exercises/easy/ex2-type-checker.js",261,0,"-",javascript,content
2692,3936143,"exercises/easy/ex2-type-checker.js",262,0," ",javascript,content
2693,3936697,"exercises/easy/ex2-type-checker.js",263,0,"M",javascript,content
2694,3936986,"exercises/easy/ex2-type-checker.js",264,0,"u",javascript,content
2695,3936999,"exercises/easy/ex2-type-checker.js",265,0,"s",javascript,content
2696,3937340,"exercises/easy/ex2-type-checker.js",266,0,"t",javascript,content
2697,3937347,"exercises/easy/ex2-type-checker.js",267,0," ",javascript,content
2698,3937497,"exercises/easy/ex2-type-checker.js",268,0,"b",javascript,content
2699,3937695,"exercises/easy/ex2-type-checker.js",269,0,"e",javascript,content
2700,3938272,"exercises/easy/ex2-type-checker.js",270,0," ",javascript,content
2701,3938412,"exercises/easy/ex2-type-checker.js",271,0,"a",javascript,content
2702,3938531,"exercises/easy/ex2-type-checker.js",272,0,"b",javascript,content
2703,3938719,"exercises/easy/ex2-type-checker.js",273,0,"l",javascript,content
2704,3938868,"exercises/easy/ex2-type-checker.js",274,0,"e",javascript,content
2705,3938958,"exercises/easy/ex2-type-checker.js",275,0," ",javascript,content
2706,3939125,"exercises/easy/ex2-type-checker.js",276,0,"t",javascript,content
2707,3939200,"exercises/easy/ex2-type-checker.js",277,0,"o",javascript,content
2708,3939370,"exercises/easy/ex2-type-checker.js",278,0," ",javascript,content
2709,3940027,"exercises/easy/ex2-type-checker.js",279,0,"d",javascript,content
2710,3940074,"exercises/easy/ex2-type-checker.js",280,0,"o",javascript,content
2711,3940222,"exercises/easy/ex2-type-checker.js",281,0," ",javascript,content
2712,3940445,"exercises/easy/ex2-type-checker.js",282,0,"s",javascript,content
2713,3940729,"exercises/easy/ex2-type-checker.js",283,0,"a",javascript,content
2714,3940825,"exercises/easy/ex2-type-checker.js",284,0,"u",javascript,content
2714,3940825,"exercises/easy/ex2-type-checker.js",284,0,"u",javascript,content
2715,3940826,"exercises/easy/ex2-type-checker.js",285,0,"i",javascript,content
2716,3940964,"exercises/easy/ex2-type-checker.js",286,0,"d",javascript,content
2717,3941433,"exercises/easy/ex2-type-checker.js",286,1,"",javascript,content
2718,3941591,"exercises/easy/ex2-type-checker.js",285,1,"",javascript,content
2719,3942485,"exercises/easy/ex2-type-checker.js",284,1,"",javascript,content
2720,3942713,"exercises/easy/ex2-type-checker.js",284,0,"i",javascript,content
2721,3942833,"exercises/easy/ex2-type-checker.js",285,0,"d",javascript,content
2722,3942982,"exercises/easy/ex2-type-checker.js",286,0," ",javascript,content
2723,3943388,"exercises/easy/ex2-type-checker.js",287,0,"p",javascript,content
2724,3943572,"exercises/easy/ex2-type-checker.js",288,0,"r",javascript,content
2725,3943672,"exercises/easy/ex2-type-checker.js",289,0,"o",javascript,content
2726,3943891,"exercises/easy/ex2-type-checker.js",290,0,"p",javascript,content
2727,3943995,"exercises/easy/ex2-type-checker.js",291,0,"e",javascript,content
2728,3944183,"exercises/easy/ex2-type-checker.js",292,0,"r",javascript,content
2729,3944386,"exercises/easy/ex2-type-checker.js",293,0,"t",javascript,content
2730,3944491,"exercises/easy/ex2-type-checker.js",294,0,"y",javascript,content
2731,3944627,"exercises/easy/ex2-type-checker.js",295,0," ",javascript,content
2732,3944762,"exercises/easy/ex2-type-checker.js",296,0,"r",javascript,content
2733,3944862,"exercises/easy/ex2-type-checker.js",297,0,"i",javascript,content
2734,3945001,"exercises/easy/ex2-type-checker.js",298,0,"g",javascript,content
2735,3945068,"exercises/easy/ex2-type-checker.js",299,0,"h",javascript,content
2736,3945168,"exercises/easy/ex2-type-checker.js",300,0,"t",javascript,content
2737,3945585,"exercises/easy/ex2-type-checker.js",301,0,"?",javascript,content
2738,3945720,"exercises/easy/ex2-type-checker.js",302,0,"?",javascript,content
2739,3947175,"exercises/easy/ex2-type-checker.js",242,61,"",javascript,content
2740,3948308,"exercises/easy/ex2-type-checker.js",242,1,"",javascript,content
2741,3952873,"tests/easy/ex2.test.js",0,0,"const showAllTypes = require('../../exercises/easy/ex2-type-checker');\n\ndescribe('Show All Types function', () => {\n  test('should return an object with all the types', () => {\n    const result = showAllTypes();\n    \n    expect(result).toHaveProperty('object');\n    expect(result).toHaveProperty('array');\n    expect(result).toHaveProperty('string');\n    expect(result).toHaveProperty('number');\n    expect(result).toHaveProperty('boolean');\n    expect(result).toHaveProperty('null');\n    expect(result).toHaveProperty('undefined');\n    expect(result).toHaveProperty('nan');\n    \n    expect(result.object).toBe('object');\n    expect(result.array).toBe('object');\n    expect(result.string).toBe('string');\n    expect(result.number).toBe('number');\n    expect(result.boolean).toBe('boolean');\n    expect(result.null).toBe('object');\n    expect(result.undefined).toBe('undefined');\n    expect(result.nan).toBe('number');\n  });\n});\n",javascript,tab
2742,3960366,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should \n  return an object containing all these types */\n  const types = showAllTypes();\n\n  expect(types).toHaveProperty('object');\n  expect(types).toHaveProperty('array');\n  expect(types).toHaveProperty('string');\n  expect(types).toHaveProperty('number');\n  expect(types).toHaveProperty('boolean');\n  expect(types).toHaveProperty('null');\n  expect(types).toHaveProperty('undefined');\n  expect(types).toHaveProperty('nan');\n  \n  expect(types.object).toBe('object');\n  expect(types.array).toBe('object');\n  expect(types.string).toBe('string');\n  expect(types.number).toBe('number');\n  expect(types.boolean).toBe('boolean');\n  expect(types.null).toBe('object');\n  expect(types.undefined).toBe('undefined');\n  expect(types.nan).toBe('number');\n\n\n\n  console.log(typeof );\n\n}\n\n\n\nmodule.exports = showAllTypes;\n\n\n\n/* the Key is the name of the data type, and value is the type of data type\n{\n\n}\n*/\n\n\n\n",javascript,tab
2743,3962904,"exercises/easy/ex2-type-checker.js",242,0,"\n  ",javascript,content
2744,3962995,"exercises/easy/ex2-type-checker.js",245,0,"\n  ",javascript,content
2744,3962995,"exercises/easy/ex2-type-checker.js",245,0,"\n  ",javascript,content
2745,3962995,"exercises/easy/ex2-type-checker.js",243,2,"",javascript,content
2746,3963149,"exercises/easy/ex2-type-checker.js",246,0,"\n  ",javascript,content
2746,3963149,"exercises/easy/ex2-type-checker.js",246,0,"\n  ",javascript,content
2747,3963149,"exercises/easy/ex2-type-checker.js",244,2,"",javascript,content
2748,3964788,"exercises/easy/ex2-type-checker.js",245,2,"",javascript,content
2748,3964788,"exercises/easy/ex2-type-checker.js",245,2,"",javascript,content
2749,3964788,"exercises/easy/ex2-type-checker.js",243,0,"e",javascript,content
2750,3965117,"exercises/easy/ex2-type-checker.js",244,0,"x",javascript,content
2751,3965317,"exercises/easy/ex2-type-checker.js",245,0,"p",javascript,content
2752,3965466,"exercises/easy/ex2-type-checker.js",246,0,"e",javascript,content
2753,3965665,"exercises/easy/ex2-type-checker.js",247,0,"c",javascript,content
2754,3965869,"exercises/easy/ex2-type-checker.js",248,0,"t",javascript,content
2755,3967838,"exercises/easy/ex2-type-checker.js",243,6,"expect",javascript,content
2756,3968403,"exercises/easy/ex2-type-checker.js",249,0," ",javascript,content
2757,3969562,"exercises/easy/ex2-type-checker.js",250,0,"<",javascript,content
2758,3969985,"exercises/easy/ex2-type-checker.js",251,0,"-",javascript,content
2759,3970101,"exercises/easy/ex2-type-checker.js",252,0,"-",javascript,content
2760,3970500,"exercises/easy/ex2-type-checker.js",253,0," ",javascript,content
2761,3970863,"exercises/easy/ex2-type-checker.js",254,0,"l",javascript,content
2762,3971025,"exercises/easy/ex2-type-checker.js",255,0,"o",javascript,content
2763,3971196,"exercises/easy/ex2-type-checker.js",256,0,"n",javascript,content
2764,3971305,"exercises/easy/ex2-type-checker.js",257,0,"e",javascript,content
2765,3971426,"exercises/easy/ex2-type-checker.js",258,0," ",javascript,content
2766,3971751,"exercises/easy/ex2-type-checker.js",259,0,"v",javascript,content
2767,3972007,"exercises/easy/ex2-type-checker.js",260,0,"a",javascript,content
2768,3972221,"exercises/easy/ex2-type-checker.js",261,0,"r",javascript,content
2769,3972322,"exercises/easy/ex2-type-checker.js",262,0,"i",javascript,content
2770,3972460,"exercises/easy/ex2-type-checker.js",263,0,"a",javascript,content
2771,3972558,"exercises/easy/ex2-type-checker.js",264,0,"b",javascript,content
2772,3972738,"exercises/easy/ex2-type-checker.js",265,0,"l",javascript,content
2773,3972832,"exercises/easy/ex2-type-checker.js",266,0,"e",javascript,content
2774,3972902,"exercises/easy/ex2-type-checker.js",267,0," ",javascript,content
2775,3973067,"exercises/easy/ex2-type-checker.js",268,0,"o",javascript,content
2776,3973255,"exercises/easy/ex2-type-checker.js",269,0,"r",javascript,content
2777,3973320,"exercises/easy/ex2-type-checker.js",270,0," ",javascript,content
2778,3973709,"exercises/easy/ex2-type-checker.js",271,0,"f",javascript,content
2779,3973839,"exercises/easy/ex2-type-checker.js",272,0,"u",javascript,content
2780,3973947,"exercises/easy/ex2-type-checker.js",273,0,"n",javascript,content
2781,3974092,"exercises/easy/ex2-type-checker.js",274,0,"c",javascript,content
2782,3974306,"exercises/easy/ex2-type-checker.js",275,0,"t",javascript,content
2783,3974355,"exercises/easy/ex2-type-checker.js",276,0,"i",javascript,content
2784,3974464,"exercises/easy/ex2-type-checker.js",277,0,"o",javascript,content
2785,3974531,"exercises/easy/ex2-type-checker.js",278,0,"n",javascript,content
2786,3975140,"exercises/easy/ex2-type-checker.js",279,0,"?",javascript,content
2787,3975253,"exercises/easy/ex2-type-checker.js",280,0,"?",javascript,content
2788,3977139,"exercises/easy/ex2-type-checker.js",282,0,"s",javascript,content
2789,3977210,"exercises/easy/ex2-type-checker.js",283,0,"h",javascript,content
2790,3977372,"exercises/easy/ex2-type-checker.js",284,0,"o",javascript,content
2791,3977502,"exercises/easy/ex2-type-checker.js",285,0,"e",javascript,content
2791,3977502,"exercises/easy/ex2-type-checker.js",285,0,"e",javascript,content
2792,3977502,"exercises/easy/ex2-type-checker.js",286,0,"w",javascript,content
2793,3977614,"exercises/easy/ex2-type-checker.js",287,0," ",javascript,content
2794,3978418,"exercises/easy/ex2-type-checker.js",287,1,"",javascript,content
2795,3978563,"exercises/easy/ex2-type-checker.js",286,1,"",javascript,content
2796,3978714,"exercises/easy/ex2-type-checker.js",285,1,"",javascript,content
2797,3978851,"exercises/easy/ex2-type-checker.js",285,0,"e",javascript,content
2798,3978987,"exercises/easy/ex2-type-checker.js",286,0," ",javascript,content
2799,3979701,"exercises/easy/ex2-type-checker.js",286,1,"",javascript,content
2800,3979835,"exercises/easy/ex2-type-checker.js",285,1,"",javascript,content
2801,3979939,"exercises/easy/ex2-type-checker.js",285,0,"w",javascript,content
2802,3980358,"exercises/easy/ex2-type-checker.js",286,0," ",javascript,content
2803,3981686,"exercises/easy/ex2-type-checker.js",287,0,"o",javascript,content
2804,3981872,"exercises/easy/ex2-type-checker.js",288,0,"k",javascript,content
2805,3982638,"exercises/easy/ex2-type-checker.js",288,1,"",javascript,content
2806,3982794,"exercises/easy/ex2-type-checker.js",287,1,"",javascript,content
